A;205;20020603 10:28;MSMITH;
B;205;1923033;55;20020603 10:28;;2;272;FLOOD ST;LEICHHARDT;2040;;;20011217;20020131;499000;;R;RESIDENCE;2;;;;8614636;
C;205;1923033;55;20020603 10:28;2//SP 53128;
D;205;1923033;55;20020603 10:28;P;;;;;;
D;205;1923033;55;20020603 10:28;V;;;;;;
B;205;1923075;56;20020603 10:28;;;258 A;FLOOD ST;LEICHHARDT;2040;;;20020316;20020426;538500;A;R;RESIDENCE;;EA;;;8555325;
C;205;1923075;56;20020603 10:28;A//321423;
D;205;1923075;56;20020603 10:28;P;;;;;;
D;205;1923075;56;20020603 10:28;P;;;;;;
D;205;1923075;56;20020603 10:28;V;;;;;;
B;205;1923097;57;20020603 10:28;;5;188;FLOOD ST;LEICHHARDT;2040;;;20020404;20020415;155000;;3;UNIT;5;;;;8588388;
C;205;1923097;57;20020603 10:28;5//SP 45170;
D;205;1923097;57;20020603 10:28;P;;;;;;
D;205;1923097;57;20020603 10:28;V;;;;;;
B;205;1923209;58;20020603 10:28;;;3;FLOOD ST;LEICHHARDT;2040;256.2;M;20020402;20020501;400000;A;R;RESIDENCE;;EA;;;8580814;
C;205;1923209;58;20020603 10:28;4//605756;
D;205;1923209;58;20020603 10:28;P;;;;;;
D;205;1923209;58;20020603 10:28;P;;;;;;
D;205;1923209;58;20020603 10:28;V;;;;;;
D;205;1923209;58;20020603 10:28;V;;;;;;
B;205;1923281;59;20020603 10:28;;;149;FLOOD ST;LEICHHARDT;2040;297.2;M;20020322;20020426;510000;A;R;RESIDENCE;;EA;;;8555074;
C;205;1923281;59;20020603 10:28;B//413526;
D;205;1923281;59;20020603 10:28;P;;;;;;
D;205;1923281;59;20020603 10:28;P;;;;;;
D;205;1923281;59;20020603 10:28;V;;;;;;
D;205;1923281;59;20020603 10:28;V;;;;;;
B;205;1923334;60;20020603 10:28;;;24;FOREST ST;FOREST LODGE;2037;211.8;M;20020430;20020517;210000;X;R;RESIDENCE;;GY;;;8617926;
C;205;1923334;60;20020603 10:28;1//741926;
D;205;1923334;60;20020603 10:28;P;;;;;;
D;205;1923334;60;20020603 10:28;V;;;;;;
D;205;1923334;60;20020603 10:28;V;;;;;;
B;205;1923402;61;20020603 10:28;;;31;FORSYTH ST;GLEBE;2037;230;M;20011102;20011206;670000;A;R;RESIDENCE;;EA;;;8553093;
C;205;1923402;61;20020603 10:28;1//778973;
D;205;1923402;61;20020603 10:28;P;;;;;;
D;205;1923402;61;20020603 10:28;V;;;;;;
B;205;1923442;62;20020603 10:28;;;28;FORSYTH ST;GLEBE;2037;106.4;M;20011122;20020402;680000;A;R;RESIDENCE;;EA;;;8559363;
C;205;1923442;62;20020603 10:28;1//734147;
D;205;1923442;62;20020603 10:28;P;;;;;;
D;205;1923442;62;20020603 10:28;V;;;;;;
B;205;1923455;63;20020603 10:28;;34;2 A;FORSYTH ST;GLEBE;2037;;;20020227;20020522;443000;;R;RESIDENCE;34;;;;8637516;
C;205;1923455;63;20020603 10:28;34//7765;
D;205;1923455;63;20020603 10:28;P;;;;;;
D;205;1923455;63;20020603 10:28;P;;;;;;
D;205;1923455;63;20020603 10:28;V;;;;;;
D;205;1923455;63;20020603 10:28;V;;;;;;
B;205;1923542;64;20020603 10:28;;1;9;FOSS ST;GLEBE;2037;;;20020315;20020426;223000;;R;RESIDENCE;1;;;;8555618;
C;205;1923542;64;20020603 10:28;1//12860;
D;205;1923542;64;20020603 10:28;P;;;;;;
D;205;1923542;64;20020603 10:28;V;;;;;;
B;205;1923630;65;20020603 10:28;;;93;FOSTER ST;LEICHHARDT;2040;;;20020316;20020424;662500;A;R;RESIDENCE;;EB;;;8554609;
C;205;1923630;65;20020603 10:28;2//961226;
D;205;1923630;65;20020603 10:28;P;;;;;;
