A;089;20011109 09:19;CDIXON;
B;089;812127;52;20011109 09:19;;;9;BURNSIDE ST;NORTH PARRAMATTA;2151;651.3;M;20010515;20010703;355000;A;R;RESIDENCE;;AV;;;7809463;
C;089;812127;52;20011109 09:19;52//16340;
D;089;812127;52;20011109 09:19;P;;;;;;
D;089;812127;52;20011109 09:19;V;;;;;;
D;089;812127;52;20011109 09:19;V;;;;;;
B;089;812349;53;20011109 09:19;;;10;BUYUMA ST;CARLINGFORD;2118;1119;M;20010505;20010625;300000;A;R;RESIDENCE;;AE;;;7730574;
C;089;812349;53;20011109 09:19;18//29030;
D;089;812349;53;20011109 09:19;P;;;;;;
D;089;812349;53;20011109 09:19;P;;;;;;
D;089;812349;53;20011109 09:19;V;;;;;;
B;089;812572;54;20011109 09:19;;20;18;CALDER RD;DUNDAS;2117;;;20001123;20010117;228000;;R;RESIDENCE;20;;;;7786570;
C;089;812572;54;20011109 09:19;20//SP 56173;
D;089;812572;54;20011109 09:19;P;;;;;;
D;089;812572;54;20011109 09:19;V;;;;;;
B;089;812686;55;20011109 09:19;;;32;CALEDONIAN AVE;WINSTON HILLS;2153;556.4;M;20010504;20010703;320000;A;R;RESIDENCE;;CB;;;7742832;
C;089;812686;55;20011109 09:19;309//233395;
D;089;812686;55;20011109 09:19;P;;;;;;
D;089;812686;55;20011109 09:19;P;;;;;;
D;089;812686;55;20011109 09:19;V;;;;;;
B;089;813176;56;20011109 09:19;;104;15;CAMPBELL ST;PARRAMATTA;2150;;;20010622;20010720;165000;;R;RESIDENCE;104;;;;7798095;
C;089;813176;56;20011109 09:19;104//SP 9260;
D;089;813176;56;20011109 09:19;P;;;;;;
D;089;813176;56;20011109 09:19;P;;;;;;
D;089;813176;56;20011109 09:19;V;;;;;;
B;089;813459;57;20011109 09:19;;18;19;CARLINGFORD RD;EPPING;2121;;;20010523;20010704;285000;;R;RESIDENCE;18;;;;7741607;
C;089;813459;57;20011109 09:19;18//31724;
D;089;813459;57;20011109 09:19;P;;;;;;
D;089;813459;57;20011109 09:19;P;;;;;;
D;089;813459;57;20011109 09:19;V;;;;;;
D;089;813459;57;20011109 09:19;V;;;;;;
B;089;813730;58;20011109 09:19;;2;23;CAROLINE ST;WESTMEAD;2145;;;20010526;20010706;160000;;R;RESIDENCE;2;;;;7766191;
