A;171;20031002 11:12;PDANN;
D;171;1817544;63;20031002 11:12;P;;;;;;
D;171;1817544;63;20031002 11:12;P;;;;;;
D;171;1817544;63;20031002 11:12;V;;;;;;
B;171;1817544;64;20031002 11:12;;150;;INGRAM PL;MURWILLUMBAH;2484;;;20030630;20030630;122000;;R;RESIDENCE;150;;;0;9987612;
C;171;1817544;64;20031002 11:12;150//SP 36086;
D;171;1817544;64;20031002 11:12;P;;;;;;
D;171;1817544;64;20031002 11:12;V;;;;;;
B;171;1817544;65;20031002 11:12;;175;;INGRAM PL;MURWILLUMBAH;2484;;;20030829;20030829;134000;;R;RESIDENCE;175;;;0;9991772;
C;171;1817544;65;20031002 11:12;175//SP 36086;
D;171;1817544;65;20031002 11:12;P;;;;;;
D;171;1817544;65;20031002 11:12;P;;;;;;
D;171;1817544;65;20031002 11:12;V;;;;;;
B;171;1817544;66;20031002 11:12;;198;;INGRAM PL;MURWILLUMBAH;2484;;;20030630;20030818;152500;;R;RESIDENCE;198;;;0;9992011;
C;171;1817544;66;20031002 11:12;198//SP 37640;
D;171;1817544;66;20031002 11:12;P;;;;;;
D;171;1817544;66;20031002 11:12;P;;;;;;
D;171;1817544;66;20031002 11:12;V;;;;;;
D;171;1817544;66;20031002 11:12;V;;;;;;
B;171;1817544;67;20031002 11:12;;237;;INGRAM PL;MURWILLUMBAH;2484;;;20030630;20030818;152500;;R;RESIDENCE;237;;;0;9992011;
C;171;1817544;67;20031002 11:12;237//SP 37640;
D;171;1817544;67;20031002 11:12;P;;;;;;
D;171;1817544;67;20031002 11:12;P;;;;;;
D;171;1817544;67;20031002 11:12;V;;;;;;
D;171;1817544;67;20031002 11:12;V;;;;;;
B;171;1817544;68;20031002 11:12;;322;;INGRAM PL;MURWILLUMBAH;2484;;;20030822;20030905;98000;;R;RESIDENCE;322;;;0;AA10695;
C;171;1817544;68;20031002 11:12;322//SP 41014;
D;171;1817544;68;20031002 11:12;P;;;;;;
D;171;1817544;68;20031002 11:12;V;;;;;;
B;171;1818214;69;20031002 11:12;;;71;JACARANDA AVE;TWEED HEADS;2485;776.9;M;20030813;20030910;250000;A;R;RESIDENCE;;NH;;0;9990956;
C;171;1818214;69;20031002 11:12;25//250884;
D;171;1818214;69;20031002 11:12;P;;;;;;
D;171;1818214;69;20031002 11:12;P;;;;;;
D;171;1818214;69;20031002 11:12;V;;;;;;
B;171;1818367;70;20031002 11:12;;;21;JAMES RD;TWEED HEADS SOUTH;2486;3067;M;20030530;20030623;147000;A;R;RESIDENCE;;NK;;70;9953415;
C;171;1818367;70;20031002 11:12;2//231879;
D;171;1818367;70;20031002 11:12;P;;;;;;
D;171;1818367;70;20031002 11:12;P;;;;;;
D;171;1818367;70;20031002 11:12;P;;;;;;
D;171;1818367;70;20031002 11:12;P;;;;;;
D;171;1818367;70;20031002 11:12;V;;;;;;
D;171;1818367;70;20031002 11:12;V;;;;;;
B;171;1818558;71;20031002 11:12;;1;24;JOSHUA ST;MURWILLUMBAH;2484;927;M;20030721;20030901;160000;A;R;RESIDENCE;;LR;;50;9998860;
C;171;1818558;71;20031002 11:12;6//793985;
D;171;1818558;71;20031002 11:12;P;;;;;;
D;171;1818558;71;20031002 11:12;P;;;;;;
D;171;1818558;71;20031002 11:12;V;;;;;;
D;171;1818558;71;20031002 11:12;V;;;;;;
D;171;1818558;71;20031002 11:12;V;;;;;;
D;171;1818558;71;20031002 11:12;V;;;;;;
B;171;1818871;72;20031002 11:12;;;5;KELBURN CL;BANORA POINT;2486;899.6;M;20030821;20030904;312000;A;R;RESIDENCE;;HQ;;0;9972062;
C;171;1818871;72;20031002 11:12;79//1003697;
D;171;1818871;72;20031002 11:12;P;;;;;;
D;171;1818871;72;20031002 11:12;V;;;;;;
